Pcp_File_Version=4
0
11 0 0 0      x      h  Mat  Lay  Beta  Axz  Bxz  Dxz  Temp Conc SConc
1   0.0  0.342    1    1     0  1.0  1.0  1.0  20.0           
2  -0.1  0.342    1    1     0  1.0  1.0  1.0  20.0           
3  -0.2  0.342    1    1     0  1.0  1.0  1.0  20.0           
4  -0.3  0.342    1    1     0  1.0  1.0  1.0  20.0           
5  -0.4  0.342    2    1     0  1.0  1.0  1.0  20.0           
6  -0.5  0.342    2    1     0  1.0  1.0  1.0  20.0           
7  -0.6  0.342    2    1     0  1.0  1.0  1.0  20.0           
8  -0.7  0.342    2    1     0  1.0  1.0  1.0  20.0           
9  -0.8  0.342    2    1     0  1.0  1.0  1.0  20.0           
10 -0.9  0.342    2    1     0  1.0  1.0  1.0  20.0           
11 -1.0  0.342    2    1     0  1.0  1.0  1.0  20.0           
0
